iter	RMSE
0	10.01388519
1	9.640257811
2	9.26639401
3	8.917337436
4	8.600035434
5	8.290462158
6	8.00817281
7	7.734504097
8	7.477222991
9	7.242628325
10	7.026410168
11	6.820267009
12	6.623315864
13	6.439385896
14	6.272873386
15	6.117126332
16	5.969151272
17	5.835258097
18	5.708173036
19	5.590609818
20	5.480981611
21	5.382727675
22	5.288251798
23	5.203850751
24	5.128883869
25	5.056412612
26	4.987994506
27	4.925887483
28	4.86934879
29	4.819432557
30	4.770790758
31	4.726665622
32	4.687561492
33	4.652069301
34	4.618194311
35	4.587531811
36	4.558695301
37	4.537527286
38	4.512760504
39	4.490136215
40	4.470426822
41	4.451775641
42	4.435080269
43	4.41924041
44	4.404530919
45	4.39136485
46	4.379450888
47	4.368065976
48	4.357887915
49	4.348484152
50	4.340061172
51	4.332485691
52	4.325328617
53	4.31864243
54	4.312788635
55	4.307242987
56	4.301970972
57	4.297284803
58	4.292794787
59	4.288863606
60	4.28546864
61	4.28188008
62	4.278721487
63	4.275863354
64	4.273242824
65	4.270742429
66	4.268435993
67	4.266259452
68	4.264417316
69	4.262395699
70	4.260687839
71	4.258929959
72	4.257299662
73	4.255909182
74	4.254587228
75	4.253324764
76	4.25222034
77	4.251099488
78	4.250061524
79	4.249145054
80	4.248218694
81	4.247368342
82	4.246618912
83	4.24592448
84	4.245269911
85	4.244643855
86	4.243990159
87	4.243379384
88	4.242782924
89	4.242262721
90	4.241742714
91	4.241293715
92	4.240820795
93	4.240355957
94	4.239980737
95	4.239626543
96	4.23927304
97	4.238939827
98	4.23862709
99	4.238306371
100	4.237998757
101	4.237727633
102	4.237450722
103	4.237173106
104	4.236888144
105	4.236645265
106	4.23640433
107	4.236140067
108	4.23592867
109	4.23574519
110	4.235553338
111	4.235339329
112	4.235138026
113	4.234971799
114	4.234780295
115	4.23460426
116	4.234420277
117	4.234200075
118	4.234024261
119	4.233892962
120	4.233690853
121	4.233500424
122	4.233305112
123	4.233129156
124	4.23300672
125	4.232865892
126	4.232689645
127	4.232559199
128	4.232413848
129	4.232273199
130	4.232116554
131	4.231991683
132	4.23189786
133	4.231749017
134	4.231583172
135	4.231456638
136	4.231304796
137	4.23118049
138	4.231053982
139	4.23094146
140	4.230853167
141	4.230760915
142	4.230654192
143	4.230544992
144	4.230414395
145	4.230267465
146	4.2301357
147	4.229993932
148	4.229884278
149	4.229773705
150	4.22970732
151	4.229590956
152	4.229478951
153	4.2293629
154	4.229273752
155	4.229208007
156	4.229121006
157	4.228995988
158	4.228888327
159	4.228811774
160	4.228717445
161	4.228633254
162	4.228541381
163	4.228447622
164	4.228372607
165	4.22829178
166	4.228212034
167	4.228078984
168	4.228003806
169	4.227906075
170	4.227826656
171	4.227720899
172	4.227635164
173	4.227559489
174	4.227471112
175	4.227437943
176	4.227351684
177	4.227257374
178	4.22715354
179	4.227082377
180	4.226993437
181	4.226896277
182	4.226827445
183	4.226744575
184	4.226677123
185	4.226577594
186	4.226517539
187	4.226464025
188	4.226366799
189	4.226287734
190	4.226223564
191	4.226133474
192	4.22608194
193	4.226001154
194	4.225908983
195	4.225839613
196	4.225772251
197	4.225706137
198	4.225629071
199	4.225531584
200	4.225464478
201	4.225400717
202	4.225323633
203	4.225255737
204	4.225198887
205	4.225162068
206	4.225064331
207	4.224995429
208	4.224929116
209	4.224833546
210	4.224747676
211	4.224667942
212	4.224616295
213	4.224541127
214	4.224500232
215	4.22443735
216	4.224364887
217	4.224291932
218	4.224220336
219	4.224161132
220	4.224105788
221	4.224037243
222	4.223980085
223	4.223915429
224	4.223846107
225	4.223788755
226	4.223712891
227	4.223654128
228	4.223587422
229	4.223507065
230	4.223442186
231	4.223388034
232	4.22334738
233	4.223266358
234	4.223183947
235	4.223115493
236	4.223038373
237	4.222979295
238	4.222931842
239	4.222889688
240	4.222814974
241	4.222738946
242	4.222690441
243	4.222620513
244	4.222568993
245	4.222512619
246	4.222452455
247	4.22241396
248	4.222346476
249	4.222301522
250	4.222238422
251	4.222182656
252	4.222101048
253	4.22205014
254	4.222014556
255	4.221944159
256	4.221899226
257	4.221833257
258	4.221765921
259	4.221677392
260	4.221620679
261	4.221542482
262	4.221471636
263	4.221409885
264	4.221351857
265	4.221307093
266	4.221259047
267	4.221200715
268	4.221140783
269	4.221090137
270	4.221050225
271	4.220996049
272	4.220947307
273	4.220896025
274	4.220837394
275	4.22075533
276	4.220696782
277	4.220636594
278	4.220587289
279	4.220542021
280	4.220487193
281	4.220444713
282	4.220391912
283	4.220338081
284	4.220260423
285	4.220209546
286	4.220158608
287	4.220106121
288	4.22004492
289	4.220000252
290	4.219949761
291	4.219887166
292	4.219811925
293	4.219754955
294	4.219705519
295	4.219635437
296	4.219596585
297	4.219553932
298	4.219487764
299	4.219409318
300	4.219338287
301	4.219297046
302	4.219249948
303	4.219206271
304	4.219154508
305	4.219108086
306	4.219051193
307	4.219019424
308	4.218991607
309	4.218918456
310	4.218831202
311	4.218770447
312	4.218706433
313	4.218653087
314	4.218590896
315	4.218524995
316	4.218473328
317	4.218414622
318	4.218353624
319	4.218292231
320	4.218228991
321	4.218174925
322	4.218121769
323	4.218075845
324	4.218011148
325	4.217962779
326	4.217928041
327	4.217864512
328	4.217821475
329	4.217770357
330	4.21773634
331	4.217708146
332	4.217618851
333	4.217580316
334	4.217514498
335	4.217478544
336	4.217439526
337	4.217391033
338	4.21735482
339	4.217311631
340	4.217274259
341	4.217231712
342	4.21717376
343	4.217126295
344	4.217079971
345	4.217030149
346	4.216959237
347	4.216891489
348	4.216834745
349	4.216774894
350	4.21673739
351	4.216697067
352	4.216628964
353	4.21659045
354	4.216522775
355	4.216482137
356	4.216430442
357	4.216383047
358	4.216327374
359	4.216268897
360	4.216217702
361	4.216148285
362	4.216096133
363	4.216038863
364	4.215998936
365	4.215961743
366	4.215898578
367	4.215849815
368	4.215824543
369	4.215776106
370	4.215719032
371	4.215642877
372	4.215608067
373	4.21553344
374	4.215464605
375	4.215398316
376	4.215361582
377	4.215319574
378	4.215276728
379	4.215226648
380	4.215184951
381	4.215133566
382	4.215100776
383	4.215044253
384	4.215000386
385	4.214955255
386	4.214916838
387	4.214862672
388	4.214796817
389	4.214750162
390	4.214698949
391	4.214660705
392	4.214621262
393	4.214591972
394	4.214551093
395	4.214481177
396	4.214420837
397	4.214389235
398	4.214341393
399	4.21428433
400	4.214236385
401	4.214196103
402	4.214161361
403	4.214096268
404	4.214072436
405	4.214032974
406	4.213972179
407	4.213935517
408	4.213873288
409	4.213810083
410	4.21374476
411	4.213695506
412	4.213642313
413	4.213590774
414	4.21353435
415	4.213478681
416	4.213431076
417	4.213394309
418	4.213354439
419	4.213300005
420	4.21325439
421	4.2132241
422	4.213161444
423	4.213107149
424	4.213044236
425	4.213014524
426	4.212979732
427	4.212926811
428	4.212893794
429	4.212863823
430	4.212825476
431	4.212767342
432	4.212711111
433	4.212667843
434	4.212620367
435	4.212565763
436	4.212536005
437	4.212499702
438	4.212452537
439	4.212402747
440	4.212338381
441	4.21229466
442	4.21224978
443	4.212191667
444	4.212144852
445	4.212110115
446	4.212054261
447	4.212009252
448	4.211970194
449	4.211921042
450	4.211871681
451	4.211808193
452	4.211753622
453	4.211703662
454	4.211662154
455	4.211616809
456	4.211563299
457	4.2115231
458	4.211446843
459	4.211407655
460	4.211346593
461	4.211276227
462	4.211229312
463	4.211178813
464	4.211141883
465	4.211100983
466	4.211068549
467	4.211035928
468	4.210967831
469	4.210936984
470	4.210905576
471	4.210863036
472	4.210816701
473	4.210757281
474	4.210731075
475	4.210674698
476	4.210633036
477	4.210590587
478	4.210536538
479	4.210503243
480	4.210449093
481	4.210407529
482	4.210349102
483	4.210307419
484	4.210272163
485	4.210232153
486	4.210200882
487	4.210139809
488	4.210090494
489	4.210028522
490	4.209994403
491	4.209969331
492	4.209917977
493	4.209863064
494	4.209837506
495	4.209811343
496	4.209770969
497	4.209718188
498	4.209681646
499	4.209641047
500	4.209594474
501	4.209553394
502	4.209504727
503	4.20946879
504	4.209409439
505	4.2093752
506	4.209318027
507	4.209281106
508	4.209247706
509	4.209183943
510	4.209146811
511	4.209096225
512	4.209041126
513	4.209001294
514	4.208965499
515	4.208912851
516	4.208858216
517	4.208820819
518	4.20877807
519	4.208752699
520	4.208720818
521	4.208684058
