iter	Passed	Remaining
0	30	44456
1	60	43602
2	90	43680
3	119	43178
4	151	43641
5	182	43693
6	214	44084
7	245	44080
8	275	43982
9	308	44253
10	340	44419
11	370	44325
12	404	44564
13	436	44649
14	471	45000
15	502	44947
16	536	45056
17	569	45207
18	602	45239
19	636	45390
20	668	45372
21	701	45393
22	736	45564
23	771	45720
24	803	45681
25	836	45679
26	870	45743
27	903	45761
28	937	45815
29	969	45775
30	1001	45698
31	1035	45777
32	1069	45793
33	1103	45817
34	1136	45825
35	1166	45687
36	1198	45638
37	1230	45585
38	1263	45588
39	1296	45576
40	1330	45588
41	1362	45550
42	1396	45573
43	1430	45581
44	1466	45666
45	1499	45639
46	1532	45602
47	1562	45498
48	1594	45467
49	1627	45450
50	1662	45462
51	1694	45419
52	1728	45436
53	1765	45507
54	1796	45435
55	1827	45352
56	1858	45297
57	1889	45212
58	1918	45098
59	1948	45016
60	1979	44947
61	2011	44896
62	2040	44803
63	2070	44718
64	2101	44646
65	2133	44617
66	2164	44554
67	2196	44520
68	2229	44487
69	2260	44428
70	2290	44364
71	2324	44356
72	2356	44320
73	2387	44259
74	2417	44187
75	2449	44161
76	2484	44173
77	2516	44129
78	2545	44049
79	2576	44001
80	2606	43932
81	2637	43869
82	2667	43804
83	2699	43763
84	2734	43777
85	2767	43762
86	2799	43723
87	2829	43667
88	2860	43622
89	2891	43566
90	2923	43524
91	2953	43461
92	2983	43402
93	3012	43334
94	3044	43302
95	3074	43236
96	3105	43192
97	3138	43173
98	3169	43129
99	3201	43091
100	3231	43039
101	3261	42979
102	3292	42925
103	3324	42903
104	3354	42842
105	3386	42808
106	3417	42768
107	3450	42746
108	3486	42771
109	3514	42688
110	3555	42759
111	3592	42789
112	3624	42761
113	3657	42735
114	3689	42701
115	3719	42647
116	3751	42615
117	3782	42566
118	3812	42516
119	3843	42471
120	3875	42440
121	3907	42404
122	3937	42352
123	3966	42287
124	3996	42238
125	4026	42186
126	4056	42134
127	4087	42086
128	4116	42028
129	4148	41994
130	4179	41954
131	4209	41902
132	4242	41886
133	4274	41850
134	4303	41795
135	4335	41765
136	4365	41715
137	4397	41677
138	4426	41623
139	4456	41573
140	4489	41554
141	4519	41503
142	4549	41452
143	4579	41402
144	4611	41379
145	4645	41364
146	4677	41336
147	4708	41292
148	4739	41254
149	4770	41219
150	4802	41186
151	4832	41138
152	4863	41099
153	4895	41070
154	4922	41003
155	4954	40971
156	4984	40927
157	5016	40897
158	5048	40866
159	5080	40838
160	5113	40808
161	5144	40776
162	5176	40741
163	5206	40697
164	5238	40672
165	5266	40610
166	5297	40570
167	5329	40542
168	5359	40497
169	5390	40460
170	5422	40431
171	5458	40429
172	5487	40382
173	5518	40345
174	5550	40313
175	5578	40252
176	5610	40225
177	5642	40193
178	5674	40164
179	5703	40114
180	5736	40089
181	5770	40073
182	5799	40027
183	5831	39996
184	5862	39958
185	5894	39930
186	5924	39889
187	5956	39858
188	5986	39814
189	6017	39775
190	6048	39743
191	6080	39711
192	6112	39681
193	6143	39650
194	6173	39606
195	6201	39547
196	6232	39516
197	6265	39492
198	6295	39451
199	6326	39411
200	6357	39379
201	6388	39340
202	6418	39300
203	6450	39274
204	6485	39262
205	6520	39250
206	6552	39220
207	6584	39191
208	6616	39158
209	6645	39115
210	6679	39092
211	6712	39073
212	6744	39041
213	6775	39005
214	6807	38977
215	6840	38955
216	6872	38924
217	6905	38897
218	6938	38873
219	6969	38837
220	7001	38807
221	7033	38780
222	7064	38745
223	7098	38722
224	7128	38684
225	7160	38655
226	7190	38615
227	7221	38576
228	7252	38541
229	7286	38521
230	7318	38494
231	7352	38475
232	7383	38439
233	7413	38397
234	7444	38362
235	7475	38328
236	7507	38298
237	7543	38285
238	7590	38331
239	7634	38363
240	7665	38326
241	7701	38315
242	7734	38290
243	7766	38259
244	7796	38218
245	7826	38178
246	7858	38145
247	7888	38104
248	7918	38067
249	7950	38035
250	7981	37999
251	8011	37961
252	8044	37932
253	8077	37908
254	8108	37872
255	8141	37843
256	8171	37804
257	8203	37772
258	8234	37739
259	8265	37704
260	8295	37664
261	8325	37621
262	8360	37604
263	8390	37565
264	8420	37524
265	8452	37494
266	8483	37459
267	8514	37425
268	8545	37392
269	8577	37361
270	8608	37325
271	8639	37287
272	8668	37245
273	8699	37211
274	8732	37183
275	8764	37154
276	8795	37116
277	8827	37087
278	8858	37055
279	8889	37020
280	8922	36991
281	8953	36955
282	8982	36915
283	9013	36879
284	9045	36850
285	9078	36823
286	9109	36788
287	9141	36755
288	9171	36717
289	9203	36688
290	9234	36651
291	9264	36612
292	9295	36579
293	9325	36539
294	9357	36508
295	9387	36471
296	9419	36439
297	9449	36401
298	9478	36362
299	9510	36329
300	9546	36316
301	9580	36290
302	9614	36268
303	9647	36242
304	9678	36208
305	9710	36176
306	9743	36148
307	9773	36110
308	9804	36077
309	9835	36042
310	9867	36010
311	9897	35973
312	9927	35936
313	9958	35902
314	9992	35876
315	10022	35841
316	10055	35811
317	10088	35785
318	10119	35751
319	10152	35722
320	10183	35688
321	10215	35657
322	10246	35625
323	10278	35592
324	10309	35561
325	10341	35528
326	10370	35488
327	10403	35460
328	10434	35425
329	10463	35385
330	10493	35348
331	10524	35315
332	10558	35290
333	10588	35253
334	10620	35222
335	10652	35191
336	10685	35162
337	10718	35135
338	10754	35118
339	10785	35084
340	10816	35051
341	10849	35021
342	10879	34986
343	10909	34949
344	10940	34914
345	10971	34880
346	11001	34844
347	11032	34808
348	11064	34777
349	11097	34749
350	11129	34720
351	11162	34692
